task_id,title,category,screen,route,page_entry,depends_on,priority,detail_file_exists,wave_id
CMP-SCR005-ADMIN,Admin(신고 처리/외부 URL 설정),COMPONENT,SCR-005,,,CMP-SCR005-AUTH;DB-ACCESS,P1,Y,W19
CMP-SCR005-AUTH,Guest 인증(로그인/가입/재설정/성인확인/탈퇴),AUTH,SCR-005,,,DB-SCHEMA-BASE;DB-RLS-BASE,P0,Y,W06
CMP-SCR005-MY-ACTIVITY,내 활동(내 글/참가요청/차단 관리),COMPONENT,SCR-005,,,CMP-SCR005-AUTH;DB-ACCESS,P0,Y,W19
CMP-SCR005-POLICY-PAGES,정책 페이지(약관/개인정보/안전수칙/면책),COMPONENT,SCR-005,,,,P1,Y,W19
CMP-SCR005-PROFILE,Member 프로필,COMPONENT,SCR-005,,,CMP-SCR005-AUTH;DB-ACCESS,P1,Y,W19
DATA-DESTINATIONS,국내·해외 여행지 정적 데이터,DATA,,,,,P0,Y,W02
DATA-REPRESENTATIVE,대표 소개 정적 데이터,DATA,,,,,P0,Y,W02
DATA-SAFETY,국가별 안전정보 정적 데이터,DATA,,,,,P0,Y,W02
DATA-VALIDATION-SCRIPT,정적 데이터 필수 필드 검증 스크립트,DATA,,,,DATA-DESTINATIONS;DATA-SAFETY;DATA-REPRESENTATIVE,P1,Y,W03
DB-ACCESS,서버 액션/쿼리 접근 계층,DB,,,,DB-SCHEMA-BASE;DB-RLS-BASE,P0,Y,W06
DB-RLS-BASE,Row Level Security 정책,DB,,,,DB-SCHEMA-BASE,P0,Y,W05
DB-SCHEMA-BASE,Supabase 스키마(6테이블 제한),DB,,,,,P0,Y,W04
DB-SEED-BASE,데모/테스트 시드 데이터,DB,,,,DB-SCHEMA-BASE,P1,Y,W05
E2E-MATE-AUTH,인증·동행 전 흐름 Smoke(가입/로그인/작성/참가/승인/신고/차단),E2E_TEST,,,,PAGE-SCR003;PAGE-SCR004;PAGE-SCR005;DB-SEED-BASE,P0,Y,W21
E2E-PUBLIC-SMOKE,"공개 흐름 Smoke(홈→상세→안전정보, About, 동행 열람)",E2E_TEST,,,,PAGE-SCR001;PAGE-SCR002;PAGE-SCR004;GLOBAL-ERROR-PAGES,P0,Y,W23
E2E-TRAVEL-TOOLS,통합 여행 준비 Smoke(항공/숙소/탭),E2E_TEST,,,,PAGE-SCR003,P0,Y,W21
GLOBAL-A11Y,접근성 기본기,GLOBAL,,,,,P1,Y,W21
GLOBAL-ERROR-PAGES,404/500/권한없음/외부연결실패,GLOBAL,,,,GLOBAL-NAV-FOOTER,P1,Y,W21
GLOBAL-NAV-FOOTER,전역 내비게이션/Footer,GLOBAL,,,,,P0,Y,W02
GLOBAL-PERF,성능 최적화(LCP/INP/CLS/이미지),GLOBAL,,,,,P1,Y,W21
GLOBAL-RESPONSIVE,반응형 레이아웃 기반,GLOBAL,,,,,P0,Y,W02
GLOBAL-SEO-META,SEO 메타데이터,GLOBAL,,,,,P1,Y,W21
GLOBAL-TOAST,Toast/상태 배지 알림 시스템,GLOBAL,,,,,P1,Y,W02
MANUAL-CHECK-A11Y,접근성 수동 확인,MANUAL_CHECK,,,,GLOBAL-A11Y,P2,Y,W23
MANUAL-CHECK-CLIENT-STATE,클라이언트 상태 수동 확인(즐겨찾기/공유/Toast),MANUAL_CHECK,,,,CMP-SCR001-FAVORITES;CMP-SCR001-SHARE;GLOBAL-TOAST,P2,Y,W21
MANUAL-CHECK-PERF-SEO,성능·SEO 수동 확인,MANUAL_CHECK,,,,GLOBAL-PERF;GLOBAL-SEO-META,P2,Y,W23
MANUAL-CHECK-RESPONSIVE,반응형 수동 확인,MANUAL_CHECK,,,,GLOBAL-RESPONSIVE,P2,Y,W22
PAGE-SCR001,메인 화면 조립,PAGE_OWNER,SCR-001,`/`,`src/app/page.tsx`,CMP-SCR001-SEARCH-HERO;CMP-SCR001-DESTINATION-GRID;CMP-SCR001-DESTINATION-DRAWER;CMP-SCR001-SAFETY-PANEL;CMP-SCR001-RECENT-MATES;CMP-SCR001-FAVORITES;CMP-SCR001-SHARE;DATA-DESTINATIONS;DATA-SAFETY;GLOBAL-NAV-FOOTER;GLOBAL-TOAST,P0,Y,W08
PAGE-SCR002,대표 소개 화면 조립,PAGE_OWNER,SCR-002,`/about`,`src/app/about/page.tsx`,CMP-SCR002-PROFILE-HERO;CMP-SCR002-STATS;CMP-SCR002-PHILOSOPHY;CMP-SCR002-TIMELINE;CMP-SCR002-COUNTRY-CHIPS;CMP-SCR002-GALLERY;CMP-SCR002-MEMORABLE-CTA;DATA-REPRESENTATIVE;GLOBAL-NAV-FOOTER,P0,Y,W10
PAGE-SCR003,통합 여행 준비 화면 조립,PAGE_OWNER,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,CMP-SCR003-INTRO;CMP-SCR003-TABS;CMP-SCR003-FLIGHT-FORM;CMP-SCR003-HOTEL-FORM;CMP-SCR003-MATE-COMPOSE;CMP-SCR003-TIPS;CMP-SCR005-AUTH;DB-ACCESS;GLOBAL-NAV-FOOTER;GLOBAL-TOAST,P0,Y,W13
PAGE-SCR004,동행 조회 화면 조립,PAGE_OWNER,SCR-004,`/mates`,`src/app/mates/page.tsx`,CMP-SCR004-INTRO;CMP-SCR004-FILTER;CMP-SCR004-LIST;CMP-SCR004-DETAIL;CMP-SCR004-JOIN-REQUEST;CMP-SCR004-REPORT;CMP-SCR004-BLOCK;CMP-SCR005-AUTH;DB-ACCESS;GLOBAL-NAV-FOOTER;GLOBAL-TOAST,P0,Y,W18
PAGE-SCR005,계정·관리 화면 조립,PAGE_OWNER,SCR-005,`/account`,`src/app/account/page.tsx`,CMP-SCR005-AUTH;CMP-SCR005-PROFILE;CMP-SCR005-MY-ACTIVITY;CMP-SCR005-ADMIN;CMP-SCR005-POLICY-PAGES;DB-ACCESS;GLOBAL-NAV-FOOTER;GLOBAL-TOAST,P0,Y,W20
RELEASE-CHECK-VERCEL-SUPABASE,Vercel/Supabase 배포·환경변수·TLS 확인,RELEASE_CHECK,,,,PAGE-SCR001;PAGE-SCR002;PAGE-SCR003;PAGE-SCR004;PAGE-SCR005;CI-PIPELINE,P2,Y,W24
TEST-RLS-BASIC,RLS 권한 통합 테스트,INTEGRATION_TEST,,,,DB-RLS-BASE;DB-ACCESS,P0,Y,W22
UNIT-CONTACT-DETECTION,연락처 패턴 탐지 단위 테스트,UNIT_TEST,,,,CMP-SCR003-MATE-COMPOSE,P0,Y,W22
UNIT-MATE-STATE,모집글/참가요청 상태 전이 단위 테스트,UNIT_TEST,,,,CMP-SCR004-JOIN-REQUEST;CMP-SCR004-DETAIL;CMP-SCR005-MY-ACTIVITY,P0,Y,W22
UNIT-TRAVEL-DATES,날짜 검증 단위 테스트,UNIT_TEST,,,,CMP-SCR003-FLIGHT-FORM;CMP-SCR003-HOTEL-FORM,P0,Y,W22
